Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Kendre Miller (40142560),Kendre Miller,40142560,RB/FLEX,4100,NO@BUF 09/28/2025 01:00PM ET,NO,3.33
RB,Tank Bigsby (40142558),Tank Bigsby,40142558,RB/FLEX,4100,PHI@TB 09/28/2025 01:00PM ET,PHI,0.4
QB,Anthony Richardson Sr. (40142428),Anthony Richardson Sr.,40142428,QB,4100,IND@LAR 09/28/2025 04:05PM ET,IND,-0.1
WR,Josh Downs (40142812),Josh Downs,40142812,WR/FLEX,4100,IND@LAR 09/28/2025 04:05PM ET,IND,6.57
WR,Dyami Brown (40142810),Dyami Brown,40142810,WR/FLEX,4100,JAX@SF 09/28/2025 04:05PM ET,JAX,9.7
RB,Zamir White (40142556),Zamir White,40142556,RB/FLEX,4100,CHI@LV 09/28/2025 04:25PM ET,LV,2.47
QB,Josh Johnson (40142466),Josh Johnson,40142466,QB,4000,WAS@ATL 09/28/2025 01:00PM ET,WAS,0
QB,Sam Hartman (40142467),Sam Hartman,40142467,QB,4000,WAS@ATL 09/28/2025 01:00PM ET,WAS,0
QB,Emory Jones (40142468),Emory Jones,40142468,QB,4000,WAS@ATL 09/28/2025 01:00PM ET,ATL,0
QB,Easton Stick (40142469),Easton Stick,40142469,QB,4000,WAS@ATL 09/28/2025 01:00PM ET,ATL,0
RB,Austin Ekeler (40142702),Austin Ekeler,40142702,RB/FLEX,4000,WAS@ATL 09/28/2025 01:00PM ET,WAS,6.55
RB,Chase Edmonds (40142704),Chase Edmonds,40142704,RB/FLEX,4000,WAS@ATL 09/28/2025 01:00PM ET,WAS,0
RB,Donovan Edwards (40142706),Donovan Edwards,40142706,RB/FLEX,4000,WAS@ATL 09/28/2025 01:00PM ET,WAS,0
RB,Nathan Carter (40142708),Nathan Carter,40142708,RB/FLEX,4000,WAS@ATL 09/28/2025 01:00PM ET,ATL,1.8
RB,Carlos Washington Jr. (40142710),Carlos Washington Jr.,40142710,RB/FLEX,4000,WAS@ATL 09/28/2025 01:00PM ET,ATL,0
QB,Hunter Dekkers (40142462),Hunter Dekkers,40142462,QB,4000,NO@BUF 09/28/2025 01:00PM ET,NO,0
QB,Jake Haener (40142463),Jake Haener,40142463,QB,4000,NO@BUF 09/28/2025 01:00PM ET,NO,0
QB,Mitchell Trubisky (40142464),Mitchell Trubisky,40142464,QB,4000,NO@BUF 09/28/2025 01:00PM ET,BUF,0.98
QB,Shane Buechele (40142465),Shane Buechele,40142465,QB,4000,NO@BUF 09/28/2025 01:00PM ET,BUF,0
RB,Ray Davis (40142568),Ray Davis,40142568,RB/FLEX,4000,NO@BUF 09/28/2025 01:00PM ET,BUF,1.17
RB,Devin Neal (40142692),Devin Neal,40142692,RB/FLEX,4000,NO@BUF 09/28/2025 01:00PM ET,NO,0.9
RB,Velus Jones Jr. (40142694),Velus Jones Jr.,40142694,RB/FLEX,4000,NO@BUF 09/28/2025 01:00PM ET,NO,0
RB,Ty Johnson (40142696),Ty Johnson,40142696,RB/FLEX,4000,NO@BUF 09/28/2025 01:00PM ET,BUF,2.03
RB,Reggie Gilliam (40142698),Reggie Gilliam,40142698,RB/FLEX,4000,NO@BUF 09/28/2025 01:00PM ET,BUF,0
RB,Frank Gore Jr. (40142700),Frank Gore Jr.,40142700,RB/FLEX,4000,NO@BUF 09/28/2025 01:00PM ET,BUF,0
QB,C.J. Beathard (40142459),C.J. Beathard,40142459,QB,4000,CLE@DET 09/28/2025 01:00PM ET,DET,0
QB,Deshaun Watson (40142460),Deshaun Watson,40142460,QB,4000,CLE@DET 09/28/2025 01:00PM ET,CLE,0
QB,Bailey Zappe (40142461),Bailey Zappe,40142461,QB,4000,CLE@DET 09/28/2025 01:00PM ET,CLE,0
RB,Craig Reynolds (40142680),Craig Reynolds,40142680,RB/FLEX,4000,CLE@DET 09/28/2025 01:00PM ET,DET,0.2
RB,Sione Vaki (40142682),Sione Vaki,40142682,RB/FLEX,4000,CLE@DET 09/28/2025 01:00PM ET,DET,0
RB,Jacob Saylors (40142684),Jacob Saylors,40142684,RB/FLEX,4000,CLE@DET 09/28/2025 01:00PM ET,DET,0
RB,Kye Robichaux (40142686),Kye Robichaux,40142686,RB/FLEX,4000,CLE@DET 09/28/2025 01:00PM ET,DET,0
RB,Raheim Sanders (40142688),Raheim Sanders,40142688,RB/FLEX,4000,CLE@DET 09/28/2025 01:00PM ET,CLE,6.3
RB,Ahmani Marshall (40142690),Ahmani Marshall,40142690,RB/FLEX,4000,CLE@DET 09/28/2025 01:00PM ET,CLE,0
QB,Davis Mills (40142431),Davis Mills,40142431,QB,4000,TEN@HOU 09/28/2025 01:00PM ET,HOU,0
QB,Brandon Allen (40142455),Brandon Allen,40142455,QB,4000,TEN@HOU 09/28/2025 01:00PM ET,TEN,0
QB,Will Levis (40142456),Will Levis,40142456,QB,4000,TEN@HOU 09/28/2025 01:00PM ET,TEN,0
QB,Trevor Siemian (40142457),Trevor Siemian,40142457,QB,4000,TEN@HOU 09/28/2025 01:00PM ET,TEN,0
QB,Graham Mertz (40142458),Graham Mertz,40142458,QB,4000,TEN@HOU 09/28/2025 01:00PM ET,HOU,0
RB,Dameon Pierce (40142564),Dameon Pierce,40142564,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,HOU,0.5
RB,Julius Chestnut (40142664),Julius Chestnut,40142664,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,TEN,0.93
RB,Kalel Mullings (40142666),Kalel Mullings,40142666,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,TEN,0
RB,Tyjae Spears (40142668),Tyjae Spears,40142668,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,TEN,0
RB,Jordan Mims (40142670),Jordan Mims,40142670,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,TEN,0
RB,Dare Ogunbowale (40142672),Dare Ogunbowale,40142672,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,HOU,1.2
RB,British Brooks (40142674),British Brooks,40142674,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,HOU,0
RB,Joe Mixon (40142676),Joe Mixon,40142676,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,HOU,0
RB,Jawhar Jordan (40142678),Jawhar Jordan,40142678,RB/FLEX,4000,TEN@HOU 09/28/2025 01:00PM ET,HOU,0
QB,Hendon Hooker (40142452),Hendon Hooker,40142452,QB,4000,CAR@NE 09/28/2025 01:00PM ET,CAR,0
QB,Joshua Dobbs (40142453),Joshua Dobbs,40142453,QB,4000,CAR@NE 09/28/2025 01:00PM ET,NE,0
QB,Tommy DeVito (40142454),Tommy DeVito,40142454,QB,4000,CAR@NE 09/28/2025 01:00PM ET,NE,0
RB,Trevor Etienne (40142648),Trevor Etienne,40142648,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,CAR,0.2
RB,Jonathon Brooks (40142650),Jonathon Brooks,40142650,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,CAR,0
RB,DeeJay Dallas (40142652),DeeJay Dallas,40142652,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,CAR,0
RB,Lan Larison (40142654),Lan Larison,40142654,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,NE,0
RB,Deneric Prince (40142656),Deneric Prince,40142656,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,NE,0
RB,Jack Westover (40142658),Jack Westover,40142658,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,NE,0
RB,Terrell Jennings (40142660),Terrell Jennings,40142660,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,NE,0
RB,Brock Lampe (40142662),Brock Lampe,40142662,RB/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,NE,0
TE,Hunter Henry (40143150),Hunter Henry,40143150,TE/FLEX,4000,CAR@NE 09/28/2025 01:00PM ET,NE,13.83
QB,Jameis Winston (40142430),Jameis Winston,40142430,QB,4000,LAC@NYG 09/28/2025 01:00PM ET,NYG,0
QB,Trey Lance (40142432),Trey Lance,40142432,QB,4000,LAC@NYG 09/28/2025 01:00PM ET,LAC,0
QB,DJ Uiagalelei (40142451),DJ Uiagalelei,40142451,QB,4000,LAC@NYG 09/28/2025 01:00PM ET,LAC,0
RB,Kimani Vidal (40142638),Kimani Vidal,40142638,RB/FLEX,4000,LAC@NYG 09/28/2025 01:00PM ET,LAC,0
RB,Amar Johnson (40142640),Amar Johnson,40142640,RB/FLEX,4000,LAC@NYG 09/28/2025 01:00PM ET,LAC,0
RB,Scott Matlock (40142642),Scott Matlock,40142642,RB/FLEX,4000,LAC@NYG 09/28/2025 01:00PM ET,LAC,0
RB,Eric Gray (40142644),Eric Gray,40142644,RB/FLEX,4000,LAC@NYG 09/28/2025 01:00PM ET,NYG,0
RB,Dante Miller (40142646),Dante Miller,40142646,RB/FLEX,4000,LAC@NYG 09/28/2025 01:00PM ET,NYG,0
QB,Teddy Bridgewater (40142433),Teddy Bridgewater,40142433,QB,4000,PHI@TB 09/28/2025 01:00PM ET,TB,0
QB,Connor Bazelak (40142447),Connor Bazelak,40142447,QB,4000,PHI@TB 09/28/2025 01:00PM ET,TB,0
QB,Tanner McKee (40142448),Tanner McKee,40142448,QB,4000,PHI@TB 09/28/2025 01:00PM ET,PHI,0
QB,Sam Howell (40142449),Sam Howell,40142449,QB,4000,PHI@TB 09/28/2025 01:00PM ET,PHI,0
QB,Kyle McCord (40142450),Kyle McCord,40142450,QB,4000,PHI@TB 09/28/2025 01:00PM ET,PHI,0
RB,Sean Tucker (40142628),Sean Tucker,40142628,RB/FLEX,4000,PHI@TB 09/28/2025 01:00PM ET,TB,0.07
RB,Josh Williams (40142630),Josh Williams,40142630,RB/FLEX,4000,PHI@TB 09/28/2025 01:00PM ET,TB,0
RB,A.J. Dillon (40142632),A.J. Dillon,40142632,RB/FLEX,4000,PHI@TB 09/28/2025 01:00PM ET,PHI,0.97
RB,Ben VanSumeren (40142634),Ben VanSumeren,40142634,RB/FLEX,4000,PHI@TB 09/28/2025 01:00PM ET,PHI,0
RB,Audric Estime (40142636),Audric Estime,40142636,RB/FLEX,4000,PHI@TB 09/28/2025 01:00PM ET,PHI,0
WR,Sterling Shepard (40142814),Sterling Shepard,40142814,WR/FLEX,4000,PHI@TB 09/28/2025 01:00PM ET,TB,8.77
QB,Stetson Bennett IV (40142445),Stetson Bennett IV,40142445,QB,4000,IND@LAR 09/28/2025 04:05PM ET,LAR,0
QB,Riley Leonard (40142446),Riley Leonard,40142446,QB,4000,IND@LAR 09/28/2025 04:05PM ET,IND,0
RB,Jarquez Hunter (40142616),Jarquez Hunter,40142616,RB/FLEX,4000,IND@LAR 09/28/2025 04:05PM ET,LAR,0
RB,Ronnie Rivers (40142618),Ronnie Rivers,40142618,RB/FLEX,4000,IND@LAR 09/28/2025 04:05PM ET,LAR,0
RB,Tyler Goodson (40142620),Tyler Goodson,40142620,RB/FLEX,4000,IND@LAR 09/28/2025 04:05PM ET,IND,0.6
RB,Salvon Ahmed (40142622),Salvon Ahmed,40142622,RB/FLEX,4000,IND@LAR 09/28/2025 04:05PM ET,IND,0
RB,Ulysses Bentley IV (40142624),Ulysses Bentley IV,40142624,RB/FLEX,4000,IND@LAR 09/28/2025 04:05PM ET,IND,0
RB,Ameer Abdullah (40142626),Ameer Abdullah,40142626,RB/FLEX,4000,IND@LAR 09/28/2025 04:05PM ET,IND,0
RB,DJ Giddens (40142714),DJ Giddens,40142714,RB/FLEX,4000,IND@LAR 09/28/2025 04:05PM ET,IND,1.47
QB,Nick Mullens (40142441),Nick Mullens,40142441,QB,4000,JAX@SF 09/28/2025 04:05PM ET,JAX,0
QB,Seth Henigan (40142442),Seth Henigan,40142442,QB,4000,JAX@SF 09/28/2025 04:05PM ET,JAX,0
QB,Adrian Martinez (40142443),Adrian Martinez,40142443,QB,4000,JAX@SF 09/28/2025 04:05PM ET,SF,0
QB,Kurtis Rourke (40142444),Kurtis Rourke,40142444,QB,4000,JAX@SF 09/28/2025 04:05PM ET,SF,0
RB,LeQuint Allen Jr. (40142600),LeQuint Allen Jr.,40142600,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,JAX,1.77
RB,Cody Schrader (40142602),Cody Schrader,40142602,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,JAX,0
RB,Ja'Quinden Jackson (40142604),Ja'Quinden Jackson,40142604,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,JAX,0
RB,Isaac Guerendo (40142606),Isaac Guerendo,40142606,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,SF,0
RB,Jordan James (40142608),Jordan James,40142608,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,SF,0
RB,Patrick Taylor Jr. (40142610),Patrick Taylor Jr.,40142610,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,SF,0
RB,Kyle Juszczyk (40142612),Kyle Juszczyk,40142612,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,SF,4.6
RB,Sincere McCormick (40142614),Sincere McCormick,40142614,RB/FLEX,4000,JAX@SF 09/28/2025 04:05PM ET,SF,0
QB,Gardner Minshew II (40142439),Gardner Minshew II,40142439,QB,4000,BAL@KC 09/28/2025 04:25PM ET,KC,0
QB,Chris Oladokun (40142440),Chris Oladokun,40142440,QB,4000,BAL@KC 09/28/2025 04:25PM ET,KC,0
RB,Rasheen Ali (40142582),Rasheen Ali,40142582,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,BAL,0.17
RB,D'Ernest Johnson (40142584),D'Ernest Johnson,40142584,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,BAL,0
RB,Lucas Scott (40142586),Lucas Scott,40142586,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,BAL,0
RB,Patrick Ricard (40142588),Patrick Ricard,40142588,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,BAL,0
RB,Brashard Smith (40142590),Brashard Smith,40142590,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,KC,0.5
RB,Elijah Mitchell (40142592),Elijah Mitchell,40142592,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,KC,0
RB,Keaontay Ingram (40142594),Keaontay Ingram,40142594,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,KC,0
RB,Clyde Edwards-Helaire (40142596),Clyde Edwards-Helaire,40142596,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,KC,0
RB,Carson Steele (40142598),Carson Steele,40142598,RB/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,KC,0
WR,Tyquan Thornton (40142816),Tyquan Thornton,40142816,WR/FLEX,4000,BAL@KC 09/28/2025 04:25PM ET,KC,12.7
QB,Kenny Pickett (40142429),Kenny Pickett,40142429,QB,4000,CHI@LV 09/28/2025 04:25PM ET,LV,0
QB,Aidan O'Connell (40142434),Aidan O'Connell,40142434,QB,4000,CHI@LV 09/28/2025 04:25PM ET,LV,0
QB,Cam Miller (40142435),Cam Miller,40142435,QB,4000,CHI@LV 09/28/2025 04:25PM ET,LV,0
QB,Jeff Driskel (40142436),Jeff Driskel,40142436,QB,4000,CHI@LV 09/28/2025 04:25PM ET,LV,0
QB,Tyson Bagent (40142437),Tyson Bagent,40142437,QB,4000,CHI@LV 09/28/2025 04:25PM ET,CHI,1.78
QB,Case Keenum (40142438),Case Keenum,40142438,QB,4000,CHI@LV 09/28/2025 04:25PM ET,CHI,0
RB,Raheem Mostert (40142566),Raheem Mostert,40142566,RB/FLEX,4000,CHI@LV 09/28/2025 04:25PM ET,LV,0
RB,Dylan Laube (40142570),Dylan Laube,40142570,RB/FLEX,4000,CHI@LV 09/28/2025 04:25PM ET,LV,1.3
RB,Chris Collier (40142572),Chris Collier,40142572,RB/FLEX,4000,CHI@LV 09/28/2025 04:25PM ET,LV,0
RB,Roschon Johnson (40142574),Roschon Johnson,40142574,RB/FLEX,4000,CHI@LV 09/28/2025 04:25PM ET,CHI,0
RB,Travis Homer (40142576),Travis Homer,40142576,RB/FLEX,4000,CHI@LV 09/28/2025 04:25PM ET,CHI,0
RB,Deion Hankins (40142578),Deion Hankins,40142578,RB/FLEX,4000,CHI@LV 09/28/2025 04:25PM ET,CHI,0
RB,Brittain Brown (40142580),Brittain Brown,40142580,RB/FLEX,4000,CHI@LV 09/28/2025 04:25PM ET,CHI,0
