position,name + id,name,id,roster position,salary,game info,teamabbrev,avgpointspergame,team,projpts,projown
WR,Tim Jones (40058938),Tim Jones,40058938,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.0,Vikings,3.3,0.0
WR,Jordan Addison (40058940),Jordan Addison,40058940,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.0,Vikings,0.0,0.0
WR,Rondale Moore (40058942),Rondale Moore,40058942,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.0,Vikings,0.0,0.0
WR,Jeshaun Jones (40058944),Jeshaun Jones,40058944,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.0,Vikings,0.0,0.0
WR,Lucky Jackson (40058946),Lucky Jackson,40058946,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.0,Vikings,0.0,0.0
WR,Dontae Fleming (40058948),Dontae Fleming,40058948,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0.0,Vikings,0.0,0.0
WR,Charlie Jones (40058950),Charlie Jones,40058950,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,CIN,0.0,Bengals,3.4,0.0
WR,Jermaine Burton (40058952),Jermaine Burton,40058952,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,CIN,0.0,Bengals,3.3,0.0
WR,Jordan Moore (40058954),Jordan Moore,40058954,WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,CIN,0.0,Bengals,0.0,0.0
WR,Roman Wilson (40058920),Roman Wilson,40058920,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0.85,Steelers,5.2,0.0
WR,Scotty Miller (40058922),Scotty Miller,40058922,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0.0,Steelers,4.0,0.0
WR,Rakim Jarrett (40058924),Rakim Jarrett,40058924,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0.0,Steelers,0.0,0.0
WR,Max Hurleman (40058926),Max Hurleman,40058926,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0.0,Steelers,0.0,0.0
WR,Ke'Shawn Williams (40058928),Ke'Shawn Williams,40058928,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0.0,Steelers,0.0,0.0
WR,Efton Chism III (40058930),Efton Chism III,40058930,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,NE,0.0,Patriots,0.0,0.0
WR,John Jiles (40058932),John Jiles,40058932,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,NE,0.0,Patriots,0.0,0.0
WR,Jeremiah Webb (40058934),Jeremiah Webb,40058934,WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,NE,0.0,Patriots,0.0,0.0
WR,John Metchie III (40058898),John Metchie III,40058898,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.5,Eagles,4.1,0.0
WR,Darius Cooper (40058900),Darius Cooper,40058900,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.0,Eagles,3.2,0.0
WR,Johnny Wilson (40058902),Johnny Wilson,40058902,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.0,Eagles,0.0,0.0
WR,Terrace Marshall (40058904),Terrace Marshall,40058904,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.0,Eagles,0.0,0.0
WR,Britain Covey (40058906),Britain Covey,40058906,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.0,Eagles,0.0,0.0
WR,Javon Baker (40058908),Javon Baker,40058908,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,PHI,0.0,Eagles,3.3,0.0
WR,Jordan Whittington (40058910),Jordan Whittington,40058910,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,3.35,Rams,6.3,0.0
WR,Konata Mumpfield (40058912),Konata Mumpfield,40058912,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,0.0,Rams,3.5,0.0
WR,Xavier Smith (40058914),Xavier Smith,40058914,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,2.3,Rams,3.6,0.0
WR,Tru Edwards (40058916),Tru Edwards,40058916,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,0.0,Rams,0.0,0.0
WR,Brennan Presley (40058918),Brennan Presley,40058918,WR/FLEX,3000,LAR@PHI 09/21/2025 01:00PM ET,LAR,0.0,Rams,0.0,0.0
WR,Tyler Johnson (40058736),Tyler Johnson,40058736,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,2.55,Jets,5.5,0.3
