Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
15,4862546820,Toothfairy592,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Troy Franklin,WR,4.23%,2.8
15,4862547930,TCEHK,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Drake London,WR,4.05%,10.5
15,4862682950,hl1976,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Steelers ,DST,3.83%,16
15,4862750105,jdn34,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Jaylen Warren,RB,3.67%,13.1
15,4862841058,capt_buzzkill,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Travis Etienne Jr.,RB,3.67%,11.6
15,4862857955,GambleGamble78,0,193.88,DST Commanders  FLEX Jonathan Taylor QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Mike Evans,FLEX,3.64%,13.3
15,4862904448,seanyman84,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Daniel Jones,QB,3.36%,15.82
15,4862982238,getrammed77,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,DJ Moore,WR,3.15%,12.8
15,4863216991,000-pRiNcEsS-000,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Saquon Barkley,RB,3.06%,9.5
15,4863242159,mrarodgers,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Davante Adams,WR,2.97%,14.6
