Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,cash_win,lineup_rating,cash_result
38,4854023192,ljuke,0,182.96,DST Patriots  FLEX Cedric Tillman QB Mac Jones RB De'Von Achane RB Kyren Williams TE Jake Ferguson WR Ja'Marr Chase WR CeeDee Lamb WR Jaxon Smith-Njigba,True,13.52442167124133,Win
39,4847784780,nbicks,0,182.90001,DST Rams  FLEX Harold Fannin Jr. QB Lamar Jackson RB Christian McCaffrey RB James Conner TE Sam LaPorta WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR Rome Odunze,True,18.099920262566453,Win
40,4853402141,bheck77,0,182.80002,DST Patriots  FLEX Travis Etienne Jr. QB Lamar Jackson RB Christian McCaffrey RB Javonte Williams TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR Keon Coleman,True,15.660998105957027,Win
40,4850466101,ManilaThrilla,0,182.8,DST Seahawks  FLEX Rome Odunze QB Drake Maye RB Christian McCaffrey RB Dylan Sampson TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Chris Olave,True,15.237714095305803,Win
42,4851163410,mikecardking,0,182.40001,DST Saints  FLEX De'Von Achane QB Drake Maye RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Elic Ayomanor,True,18.805393613651823,Win
43,4854103777,speechboy2,0,182.22,DST Ravens  FLEX Theo Johnson QB Josh Allen RB Christian McCaffrey RB De'Von Achane TE Jake Ferguson WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,True,16.023812972229504,Win
44,4853964673,Austermiller,0,182.1,DST Rams  FLEX Chase Brown QB Drake Maye RB Christian McCaffrey RB Kyren Williams TE Harold Fannin Jr. WR Malik Nabers WR Jaxon Smith-Njigba WR Rome Odunze,True,20.921813666907937,Win
45,4847924488,ijrosa,0,182.06,DST Seahawks  FLEX Christian McCaffrey QB Mac Jones RB De'Von Achane RB Javonte Williams TE Juwan Johnson WR Puka Nacua WR Tyreek Hill WR Hollywood Brown,True,16.99131928228944,Win
46,4846279709,oshkoshjeff,0,181.76,DST Saints  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Brenton Strange WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,True,15.096619425088731,Win
46,4854397528,6aeten,0,181.76,DST Panthers  FLEX Ricky Pearsall QB Mac Jones RB Jonathan Taylor RB Kyren Williams TE Juwan Johnson WR Ja'Marr Chase WR Puka Nacua WR Jaxon Smith-Njigba,True,14.895055610492907,Win
48,4849518900,msperry2015,0,181.23999,DST Cowboys  FLEX Amon-Ra St. Brown QB Dak Prescott RB De'Von Achane RB Javonte Williams TE Jake Ferguson WR Tyreek Hill WR Jameson Williams WR Khalil Shakir,True,5.199836128433948,Win
49,4853621860,mlaight,0,180.88,DST Saints  FLEX Rome Odunze QB Justin Fields RB Chase Brown RB Javonte Williams TE Juwan Johnson WR CeeDee Lamb WR Amon-Ra St. Brown WR Jaxon Smith-Njigba,True,12.214256876368498,Win
50,4847889716,kooks13,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,20.05508926414591,Win
50,4849558691,Eddie1383,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,20.05508926414591,Win
50,4850624599,milehisooner,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,20.05508926414591,Win
50,4851573457,lloydjs2000,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,20.05508926414591,Win
50,4853161712,johnnyquad54,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,20.05508926414591,Win
50,4853882591,tylerhartsfield,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,20.05508926414591,Win
50,4854435262,mmyring,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,True,20.05508926414591,Win
57,4850918162,benoj6,0,180.34,DST Panthers  FLEX Puka Nacua QB Dak Prescott RB James Cook RB Javonte Williams TE Hunter Henry WR CeeDee Lamb WR Ricky Pearsall WR Rome Odunze,True,9.37220709056743,Win
58,4851322778,shadowwarrior903,0,180.06,DST Rams  FLEX CeeDee Lamb QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Tyler Warren WR Jaxon Smith-Njigba WR Ricky Pearsall WR Rome Odunze,True,19.430241438898864,Win
59,4854365945,jimsbeef,0,179.8,DST Titans  FLEX De'Von Achane QB Drake Maye RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,True,20.518686037716293,Win
60,4851695842,sbris10,0,179.76,DST Rams  FLEX Malik Nabers QB Mac Jones RB Christian McCaffrey RB D'Andre Swift TE Harold Fannin Jr. WR Amon-Ra St. Brown WR A.J. Brown WR DK Metcalf,True,17.233195859804425,Win
61,4854479881,Ddoege,0,179.59999,DST Rams  FLEX CeeDee Lamb QB Drake Maye RB Javonte Williams RB Dylan Sampson TE Juwan Johnson WR Ja'Marr Chase WR Davante Adams WR Travis Hunter,True,10.359869782086948,Win
62,4853855107,jrcross,0,179.55998,DST Rams  FLEX James Conner QB Mac Jones RB Javonte Williams RB Travis Etienne Jr. TE Juwan Johnson WR CeeDee Lamb WR Malik Nabers WR Zay Flowers,True,14.43145883692252,Win
63,4848352611,cadebraden,0,179.18,DST Rams  FLEX Ja'Marr Chase QB Justin Fields RB Kyren Williams RB Javonte Williams TE Jonnu Smith WR Amon-Ra St. Brown WR Hollywood Brown WR Rome Odunze,True,13.060824897670942,Win
64,4852311871,mlong2181,0,178.8,DST Patriots  FLEX Hollywood Brown QB Drake Maye RB Christian McCaffrey RB Chase Brown TE Brenton Strange WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Rome Odunze,True,18.886019139490152,Win
65,4850561659,SunDevils21,0,178.76001,DST Rams  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Kyren Williams TE Harold Fannin Jr. WR Ja'Marr Chase WR CeeDee Lamb WR Rome Odunze,True,22.33276036907868,Win
66,4850089833,Bobby2shots,0,178.2,DST Jets  FLEX Tyler Warren QB Lamar Jackson RB Christian McCaffrey RB Alvin Kamara TE Brenton Strange WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Rome Odunze,True,16.18506402390616,Win
67,4853829225,jdrooks,0,178.16,DST 49ers  FLEX Amon-Ra St. Brown QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Dalton Kincaid WR Ja'Marr Chase WR Marvin Harrison Jr. WR Kayshon Boutte,True,12.536758979721812,Win
68,4854312043,HoosierDaddy_FU,0,178.09999,DST Colts  FLEX Ja'Marr Chase QB Drake Maye RB Christian McCaffrey RB Javonte Williams TE Tyler Warren WR Zay Flowers WR Keon Coleman WR Wan'Dale Robinson,True,13.242232330807182,Win
69,4850921591,tepod2001,0,177.73999,DST Seahawks  FLEX Hollywood Brown QB Dak Prescott RB Christian McCaffrey RB Travis Etienne Jr. TE Juwan Johnson WR CeeDee Lamb WR Malik Nabers WR Cedric Tillman,True,15.479590672820787,Win
69,4854429599,bgm83,0,177.73999,DST Patriots  FLEX Malik Nabers QB Dak Prescott RB Chuba Hubbard RB Travis Etienne Jr. TE Brenton Strange WR Puka Nacua WR DK Metcalf WR Tetairoa McMillan,True,10.339713400627367,Win
71,4852967695,Darkvayne,0,177.36,DST Rams  FLEX Travis Kelce QB Jared Goff RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR Hollywood Brown,True,17.233195859804425,Win
