Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,lineup_rating
42,4851163410,mikecardking,0,182.40001,DST Saints  FLEX De'Von Achane QB Drake Maye RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Elic Ayomanor,129.8
43,4854103777,speechboy2,0,182.22,DST Ravens  FLEX Theo Johnson QB Josh Allen RB Christian McCaffrey RB De'Von Achane TE Jake Ferguson WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,122.95
44,4853964673,Austermiller,0,182.1,DST Rams  FLEX Chase Brown QB Drake Maye RB Christian McCaffrey RB Kyren Williams TE Harold Fannin Jr. WR Malik Nabers WR Jaxon Smith-Njigba WR Rome Odunze,139.8
45,4847924488,ijrosa,0,182.06,DST Seahawks  FLEX Christian McCaffrey QB Mac Jones RB De'Von Achane RB Javonte Williams TE Juwan Johnson WR Puka Nacua WR Tyreek Hill WR Hollywood Brown,123.54999999999998
46,4846279709,oshkoshjeff,0,181.76,DST Saints  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Brenton Strange WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,117.80000000000001
46,4854397528,6aeten,0,181.76,DST Panthers  FLEX Ricky Pearsall QB Mac Jones RB Jonathan Taylor RB Kyren Williams TE Juwan Johnson WR Ja'Marr Chase WR Puka Nacua WR Jaxon Smith-Njigba,118.85
48,4849518900,msperry2015,0,181.23999,DST Cowboys  FLEX Amon-Ra St. Brown QB Dak Prescott RB De'Von Achane RB Javonte Williams TE Jake Ferguson WR Tyreek Hill WR Jameson Williams WR Khalil Shakir,92.15
49,4853621860,mlaight,0,180.88,DST Saints  FLEX Rome Odunze QB Justin Fields RB Chase Brown RB Javonte Williams TE Juwan Johnson WR CeeDee Lamb WR Amon-Ra St. Brown WR Jaxon Smith-Njigba,115.0
50,4847889716,kooks13,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,134.8
50,4849558691,Eddie1383,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,134.8
50,4850624599,milehisooner,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,134.8
50,4851573457,lloydjs2000,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,134.8
50,4853161712,johnnyquad54,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,134.8
50,4853882591,tylerhartsfield,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,134.8
50,4854435262,mmyring,0,180.86,DST Rams  FLEX Chuba Hubbard QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR Cedric Tillman,134.8
57,4850918162,benoj6,0,180.34,DST Panthers  FLEX Puka Nacua QB Dak Prescott RB James Cook RB Javonte Williams TE Hunter Henry WR CeeDee Lamb WR Ricky Pearsall WR Rome Odunze,104.44999999999999
58,4851322778,shadowwarrior903,0,180.06,DST Rams  FLEX CeeDee Lamb QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Tyler Warren WR Jaxon Smith-Njigba WR Ricky Pearsall WR Rome Odunze,133.39999999999998
59,4854365945,jimsbeef,0,179.8,DST Titans  FLEX De'Von Achane QB Drake Maye RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,136.35000000000002
